"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"Store Name","Address","Address 2","City","State","Zip","County","Store Type","Incentive Program","Grantee Name","Point Source","Selected Location"
"Mi Ranchito Produce","2169 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Mi Rancho Supermarket 1","5900 3rd St","C-2001","San Francisco","CA","94124","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"Mi Tierra Adelitas","2023 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Milan Pizza","606 Geary St","","San Francisco","CA","94102","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Miss Q's Convenience Llc","838 Washington St","","San Francisco","CA","94108","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Mission Community Market 38-024","84 Bartlett St","","San Francisco","CA","94110","SAN FRANCISCO","Farmers and Markets","","California Department of Food and Agriculture","USDA","San Francisco (City, 2020)"
"Mission Food Center Inc","2366 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Modena Pizza and Ice Cream","32 6th St","","San Francisco","CA","94103","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Mollie Stone's Tower Market","635 Portola Dr","","San Francisco","CA","94127","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Mollie Stones Market 9","4201 18th St","","San Francisco","CA","94114","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Mustafio's Pizza","1116 Polk St","","San Francisco","CA","94109","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"NEW CASA MARIA","1201 S Van Ness Ave","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"NEW INDIA BAZAR","1107 Polk St","","San Francisco","CA","94109","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"NEW LIEN HING LLC","400 Clement St","","San Francisco","CA","94118","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"NICK'S SUPER MARKET","144 PAGE STREET","","SAN FRANCISCO","CA","94102","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Nabilas Natural Foods Corp","559 Hayes St","","San Francisco","CA","94102","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"New Heng Fung Inc.","2444 Noriega St","","San Francisco","CA","94122","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"New Sheng Hing Market Inc.","1107 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"New Tuong Phong Market","628 Ellis St","","San Francisco","CA","94109","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"New Wing Cheung Store","2121 Irving St","","San Francisco","CA","94122","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"New Wing Lung Food Inc.","835 Pacific Ave","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Noe Valley Farmers' Market","3861 24th St","","San Francisco","CA","94114","SAN FRANCISCO","Farmers and Markets","","","USDA","San Francisco (City, 2020)"
"North Beach Farmers Market","659 Columbus Ave","","San Francisco","CA","94133","SAN FRANCISCO","Farmers and Markets","","","USDA","San Francisco (City, 2020)"
"Other Avenues","3930 Judah St","","San Francisco","CA","94122","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"Outer Sunset Farmers Market & Mercantile","1994 37th Ave","","San Francisco","CA","94116","SAN FRANCISCO","Farmers and Markets","","","USDA","San Francisco (City, 2020)"
"Palou Market","4919 3rd St","","San Francisco","CA","94124","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Pang Kee Bargain Market","1308 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Papa Johns #3654","69 Cambon Dr","","San Francisco","CA","94132","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Park Plaza Fine Foods","111 Cambon Dr","","San Francisco","CA","94132","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Parkside Farmers Market","555 Taraval St","","San Francisco","CA","94116","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Popstar Shawarma","91 6th St","","San Francisco","CA","94103","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"RICHMOND NEW MAY WAH SUPERMARKET","707 Clement St # 719","","San Francisco","CA","94118","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Radman's Produce Market","201 Turk St Ste D","","San Francisco","CA","94102","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Rainbow Grocery Co-op","1745 Folsom St","","San Francisco","CA","94103","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Rainbow Market & Deli","684 Larkin St","","San Francisco","CA","94109","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Red A Dim Sum","634 Clement St","","San Francisco","CA","94118","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Run Feng Hai Wei Chinese Herbal Inc","753 Jackson St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"S & B Supermarket","2203 Irving St","","San Francisco","CA","94122","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"S & M Ginseng","919 Grant Ave","","San Francisco","CA","94108","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"SAFEWAY  1490","2300 16th St","","San Francisco","CA","94103","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
